Title,Note,URL,Tags,Comment
,,,,
Hiya Wine Bar,,https://www.google.com/maps/place/Hiya+Wine+Bar/data=!4m2!3m1!1s0x85d1ff48804e2cd9:0x7205a004a0bf2702,,
Essex,,https://www.google.com/maps/place/Essex/data=!4m2!3m1!1s0x85d1ff0016048b73:0xb2822fd396739e5c,,
TRAMPA,,https://www.google.com/maps/place/TRAMPA/data=!4m2!3m1!1s0x85d1ffa0cb54bb0f:0x69f391760918ecee,,
Café Drama,,https://www.google.com/maps/place/Caf%C3%A9+Drama/data=!4m2!3m1!1s0x85d20304b010bd8b:0x3816c14cc346a1aa,,
Bar Liebre,,https://www.google.com/maps/place/Bar+Liebre/data=!4m2!3m1!1s0x85d1ff0032be1f75:0xd5a0ccb4083aa1c,,
RUIDO,,https://www.google.com/maps/place/RUIDO/data=!4m2!3m1!1s0x85d1ff65981a1229:0x1420219c5f0ee22b,,
DACOPA,,https://www.google.com/maps/place/DACOPA/data=!4m2!3m1!1s0x85d1ff0000bef0cf:0xa0de25f82a8bca86,,
Cafe Ocaso,,https://www.google.com/maps/place/Cafe+Ocaso/data=!4m2!3m1!1s0x85d1ff0061c69e11:0xd1615e6b923b89c2,,
Carajo Maria,,https://www.google.com/maps/place/Carajo+Maria/data=!4m2!3m1!1s0x85d1ffd81206d9e7:0x95cf1ddc65226d66,,
Owl Bar (Speakeasy),,https://www.google.com/maps/place/Owl+Bar+(Speakeasy)/data=!4m2!3m1!1s0x85d1ff00569089ab:0x960cb4a293bf3845,,
ololo,,https://www.google.com/maps/place/ololo/data=!4m2!3m1!1s0x85d1ff789601db3b:0x185e5746da0e77f6,,
Roca,,https://www.google.com/maps/place/Roca/data=!4m2!3m1!1s0x85d1ff000dcb1a11:0x3a2203967db3c1e4,,
Tokyo Music Bar,,https://www.google.com/maps/place/Tokyo+Music+Bar/data=!4m2!3m1!1s0x85d1ff8d7e6f294d:0x6f07f510fc94e4aa,,
Librería Valladolid,,https://www.google.com/maps/place/Librer%C3%ADa+Valladolid/data=!4m2!3m1!1s0x85d1ff448e81ec25:0xe7d2220b8c1dfe,,
Bar Mauro,,https://www.google.com/maps/place/Bar+Mauro/data=!4m2!3m1!1s0x85d1ffdbbe56d071:0x45466e37cb489b4e,,
Café de Nadie,,https://www.google.com/maps/place/Caf%C3%A9+de+Nadie/data=!4m2!3m1!1s0x85d1ff1edbce70ff:0xdb713a3a894989bc,,
Cometa,,https://www.google.com/maps/place/Cometa/data=!4m2!3m1!1s0x85d1ff001a8ad915:0x79c71250f295baa7,,
Salón Palomilla,,https://www.google.com/maps/place/Sal%C3%B3n+Palomilla/data=!4m2!3m1!1s0x85d1ffe9bcfef2e9:0xd717b099c462bdc5,,
Kinshasa Roma,,https://www.google.com/maps/place/Kinshasa+Roma/data=!4m2!3m1!1s0x85d1ff7ab0c16e0d:0xfb3021a645d45f4f,,
Tlecan,,https://www.google.com/maps/place/Tlecan/data=!4m2!3m1!1s0x85d1ffe5a86abb45:0xcbd95d5610104c26,,
Bar Anchoa,,https://www.google.com/maps/place/Bar+Anchoa/data=!4m2!3m1!1s0x85d1ffa3061077a3:0x60ca02123930ac48,,
Caiman,,https://www.google.com/maps/place/Caiman/data=!4m2!3m1!1s0x85d1ff474cf3aba9:0x251fd7705986d040,,
Balagán,,https://www.google.com/maps/place/Balag%C3%A1n/data=!4m2!3m1!1s0x85d1ffe1d3d46337:0x2abd8ab96d5fbe5d,,
