Title,Note,URL,Tags,Comment
,,, Restaurant; Airbnb,
Dropped pin,,"https://www.google.com/maps/search/19.4176769,-99.1763088",,
Gaba Restaurante,,https://www.google.com/maps/place/Gaba+Restaurante/data=!4m2!3m1!1s0x85d1ff25de7966d5:0x4cda98d171604732,,
Córdoba 87,,https://www.google.com/maps/place/C%C3%B3rdoba+87/data=!4m2!3m1!1s0x85d1ff3a8f606d5d:0x174182049a5285eb,,
L'enfant,,https://www.google.com/maps/place/L'enfant/data=!4m2!3m1!1s0x85d1ffff61cf8a5f:0xb4d33659fa41d52,,
CASTIZO ROMA,,https://www.google.com/maps/place/CASTIZO+ROMA/data=!4m2!3m1!1s0x85d1ffca7137cb4b:0x314bab62f97065ab,,
Travieso Travieso,,https://www.google.com/maps/place/Travieso+Travieso/data=!4m2!3m1!1s0x85d1f90030873827:0x1e3e323e689082f5, Restaurant,
Cardamomo,Breakfast ,https://www.google.com/maps/place/Cardamomo/data=!4m2!3m1!1s0x85d1ff6aff865b69:0xd9e9d8c73806f963,,
The Wild Oscar,Hotel,https://www.google.com/maps/place/The+Wild+Oscar/data=!4m2!3m1!1s0x85d1ff55577956b7:0xc577df992a0402c4,,
El Jamil,,https://www.google.com/maps/place/El+Jamil/data=!4m2!3m1!1s0x85d1ff38b2efbc87:0xcc5998e3cc6d864c,,
PETRA,Bar,https://www.google.com/maps/place/PETRA/data=!4m2!3m1!1s0x85d1ff004b6b1707:0x1850d58b3379815b,,
Fugu Sushi,Omakase ,https://www.google.com/maps/place/Fugu+Sushi/data=!4m2!3m1!1s0x85d1ff0c3a06dd6b:0xefbf26874070d653,,
Owa Wellness,,https://www.google.com/maps/place/Owa+Wellness/data=!4m2!3m1!1s0x85d1ff7e7ff0695d:0xed0f22db0b608fde,,
Happy Fruit,,https://www.google.com/maps/place/Happy+Fruit/data=!4m2!3m1!1s0x85d1ff6360730af9:0x4de953e92f2187bc,,
Rosso,Speakeasy,https://www.google.com/maps/place/Rosso/data=!4m2!3m1!1s0x85d1ff0044b65df3:0x9279b521365e6290,,
Darosa,,https://www.google.com/maps/place/Darosa/data=!4m2!3m1!1s0x85d1ffaba62701fd:0x1d7154e411f4d70a,,
Barra Lupe,,https://www.google.com/maps/place/Barra+Lupe/data=!4m2!3m1!1s0x85d1ff00095ae2d5:0x7e404f5d44f42518,,
Rapsodia,,https://www.google.com/maps/place/Rapsodia/data=!4m2!3m1!1s0x85d1ff43cc90de9b:0xc7dad670e7ef2bb9,,
Armario Comunal,,https://www.google.com/maps/place/Armario+Comunal/data=!4m2!3m1!1s0x85d1ff55233609c3:0x652d41ee042dee52,,
Farmacia Internacional,,https://www.google.com/maps/place/Farmacia+Internacional/data=!4m2!3m1!1s0x85d1ffc3713e6401:0x9a71d3349795ea33,,
Étranger,,https://www.google.com/maps/place/%C3%89tranger/data=!4m2!3m1!1s0x85d1ff59302d8261:0x2e43092a5a205008,,
Yagé,,https://www.google.com/maps/place/Yag%C3%A9/data=!4m2!3m1!1s0x85d1ff002875ef87:0x31ff2fcf474b75ea,,
Zimo,,https://www.google.com/maps/place/Zimo/data=!4m2!3m1!1s0x85d1ffbb976f98d7:0x68233e5ce564586d,,
Av Nuevo León 155,,https://www.google.com/maps/place/Av+Nuevo+Le%C3%B3n+155/data=!4m2!3m1!1s0x85d1ff41fc9d6589:0xec1df8d68c923114,,
HOMARE Cocina Tradicional Japonesa,,https://www.google.com/maps/place/HOMARE+Cocina+Tradicional+Japonesa/data=!4m2!3m1!1s0x85d1ff006a5f817d:0x90924ed6e76a96e8,,
Amorino,,https://www.google.com/maps/place/Amorino/data=!4m2!3m1!1s0x85d1ffeb2a2a11c9:0x2c83f7b4f754c78,,
Fournier Rousseau,,https://www.google.com/maps/place/Fournier+Rousseau/data=!4m2!3m1!1s0x85d1ff3ae8ae35d7:0xff92afea74ec0607,,
Antonella Caffè,,https://www.google.com/maps/place/Antonella+Caff%C3%A8/data=!4m2!3m1!1s0x85d1ffe2329529b5:0x78dac8e02e9eaf8d,,
Jazzatlán Capital,,https://www.google.com/maps/place/Jazzatl%C3%A1n+Capital/data=!4m2!3m1!1s0x85d1ff391e6230c3:0x7de74697b216efb3,,
Migo Bagels,,https://www.google.com/maps/place/Migo+Bagels/data=!4m2!3m1!1s0x85d1ff556429677b:0xd716a17ca8a83a01,,
MOMO Coffee - Roma Norte,,https://www.google.com/maps/place/MOMO+Coffee+-+Roma+Norte/data=!4m2!3m1!1s0x85d1ff19bb2bfc39:0xf397725e26b5503a,,
ABRASAMAR,,https://www.google.com/maps/place/ABRASAMAR/data=!4m2!3m1!1s0x85d1ff00661a5335:0x6ec1f929f9ce8a33,,
Disco Café & Bar,,https://www.google.com/maps/place/Disco+Caf%C3%A9+%26+Bar/data=!4m2!3m1!1s0x85d1ff46f30578cb:0xde893c16847e101d,,
ARDA,,https://www.google.com/maps/place/ARDA/data=!4m2!3m1!1s0x85d1ff2595aa187d:0x9026332b65e8111a,,
Perfumérica Condesa,,https://www.google.com/maps/place/Perfum%C3%A9rica+Condesa/data=!4m2!3m1!1s0x85d1ffea8b6431f3:0x1d80fc4600439680,,
Frontera 99,,https://www.google.com/maps/place/Frontera+99/data=!4m2!3m1!1s0x85d1ff2557bf44cb:0x6dbc4d0de44c10b3, Airbnb,
Ticuchi,,https://www.google.com/maps/place/Ticuchi/data=!4m2!3m1!1s0x85d1f8ab75cf106d:0xcb7b042857cecaa,,
Aúna Restaurante,,https://www.google.com/maps/place/A%C3%BAna+Restaurante/data=!4m2!3m1!1s0x85d203065e4a343b:0xa655fdaee8271d10,,
Niddo Café Polanco,,https://www.google.com/maps/place/Niddo+Caf%C3%A9+Polanco/data=!4m2!3m1!1s0x85d20318da3f545d:0x39f88764ed81aeb2,,
Casa Simera,,https://www.google.com/maps/place/Casa+Simera/data=!4m2!3m1!1s0x85d2030065d014d5:0xe5daa4ca9ba0147,,
Rosa Negra,,https://www.google.com/maps/place/Rosa+Negra/data=!4m2!3m1!1s0x85d20201c5870aaf:0xd25dbb007cf2cd41,,
Animal Masaryk,,https://www.google.com/maps/place/Animal+Masaryk/data=!4m2!3m1!1s0x85d203cd9cb64e27:0x98be937b2d395b22,,
Propio,,https://www.google.com/maps/place/Propio/data=!4m2!3m1!1s0x85d1ff3751a251ad:0x2573079334f77875,,
Fueguia 1833 Mexico,,https://www.google.com/maps/place/Fueguia+1833+Mexico/data=!4m2!3m1!1s0x85d1fff60676ed8b:0xe54f04080617fc11,,
Orbita,,https://www.google.com/maps/place/Orbita/data=!4m2!3m1!1s0x85d1ff9c2c5d9a45:0x5c77ef01daf4e725,,
Pandora Roof Top,,https://www.google.com/maps/place/Pandora+Roof+Top/data=!4m2!3m1!1s0x85d1ff0074e5a9bd:0xa23289df5f6cdf6f,,
Em,,https://www.google.com/maps/place/Em/data=!4m2!3m1!1s0x85d1ff7f1df7b7d5:0xdb3fca50cb1319ab,,
Havre 77,,https://www.google.com/maps/place/Havre+77/data=!4m2!3m1!1s0x85d1ff316923c3f7:0xe06e213a196ed97c,,
Haab Project Condesa,,https://www.google.com/maps/place/Haab+Project+Condesa/data=!4m2!3m1!1s0x85d1ff1e47c06ad5:0xe51b8d1140b9de46,,
Alma Mia Condesa,,https://www.google.com/maps/place/Alma+Mia+Condesa/data=!4m2!3m1!1s0x85d1ff606da98a65:0x54541cbf1fcc1b07,,
