Title,Note,URL,Tags,Comment
,,,,
Bartola,,https://www.google.com/maps/place/Bartola/data=!4m2!3m1!1s0x85d1ff00036d6d9d:0x668be880fa6292b4,,
Cursi,,https://www.google.com/maps/place/Cursi/data=!4m2!3m1!1s0x85d1ff00161a6b37:0xc4ae41c729ba0d6c,,
Lotti,,https://www.google.com/maps/place/Lotti/data=!4m2!3m1!1s0x85d1ff7746426d15:0x1bc86fc2aa214fc4,,
La Pantera Asador,,https://www.google.com/maps/place/La+Pantera+Asador/data=!4m2!3m1!1s0x85d1ff3d3724e3e5:0x3ab9c2fe9b097ec2,,
Cafe Ocaso,,https://www.google.com/maps/place/Cafe+Ocaso/data=!4m2!3m1!1s0x85d1ff0061c69e11:0xd1615e6b923b89c2,,
Carajo Maria,,https://www.google.com/maps/place/Carajo+Maria/data=!4m2!3m1!1s0x85d1ffd81206d9e7:0x95cf1ddc65226d66,,
Cafeteria Ideal,,https://www.google.com/maps/place/Cafeteria+Ideal/data=!4m2!3m1!1s0x85d1ff30fd8584ab:0xce6b4316e5138ff3,,
Botánico,,https://www.google.com/maps/place/Bot%C3%A1nico/data=!4m2!3m1!1s0x85d1ffa6074f148f:0x72687d1fd40d86cd,,
Babero,,https://www.google.com/maps/place/Babero/data=!4m2!3m1!1s0x85d1ff82cb1feb95:0x6681679d37ec0a9c,,
Hugo,,https://www.google.com/maps/place/Hugo/data=!4m2!3m1!1s0x85d1ffdaf4634243:0xd185f7e52f6b9716,,
FERAL,,https://www.google.com/maps/place/FERAL/data=!4m2!3m1!1s0x85d1ff89d875ed05:0x7bb40a565660c127,,
Baldío,,https://www.google.com/maps/place/Bald%C3%ADo/data=!4m2!3m1!1s0x85d1ff46a77b0001:0x35d252dbfe696a1b,,
