Title,Note,URL,Tags,Comment
,,,,
Durango 136,,https://www.google.com/maps/place/Durango+136/data=!4m2!3m1!1s0x85d1ff375132f07d:0x8e2d0f3fb8124e31,,
Av Nuevo León 155,Airbnb,https://www.google.com/maps/place/Av+Nuevo+Le%C3%B3n+155/data=!4m2!3m1!1s0x85d1ff41fc9d6589:0xec1df8d68c923114,,
Amorino,,https://www.google.com/maps/place/Amorino/data=!4m2!3m1!1s0x85d1ffeb2a2a11c9:0x2c83f7b4f754c78,,
Fournier Rousseau,,https://www.google.com/maps/place/Fournier+Rousseau/data=!4m2!3m1!1s0x85d1ff3ae8ae35d7:0xff92afea74ec0607,,
Antonella Caffè,,https://www.google.com/maps/place/Antonella+Caff%C3%A8/data=!4m2!3m1!1s0x85d1ffe2329529b5:0x78dac8e02e9eaf8d,,
Abarrotes Delirio,,https://www.google.com/maps/place/Abarrotes+Delirio/data=!4m2!3m1!1s0x85d1ff3a9f842cd1:0x5ef9ad4b089363da,,
Ojo de Agua,,https://www.google.com/maps/place/Ojo+de+Agua/data=!4m2!3m1!1s0x85d1ff33366e080b:0x92cd7e0ffb1dd885,,
Madre Cafecito - Patio,,https://www.google.com/maps/place/Madre+Cafecito+-+Patio/data=!4m2!3m1!1s0x85d1ff2c48fa1611:0xfd0f9545564ebb9a,,
Zoco Fresh Roma Tienda orgánica,,https://www.google.com/maps/place/Zoco+Fresh+Roma+Tienda+org%C3%A1nica/data=!4m2!3m1!1s0x85d1ffbe36afe1f7:0x3ea01a1b1ae9104c,,
JOE & THE JUICE ROMA,,https://www.google.com/maps/place/JOE+%26+THE+JUICE+ROMA/data=!4m2!3m1!1s0x85d1ff5b6c115caf:0x279d8b4a13739f87,,
Jazzatlán Capital,,https://www.google.com/maps/place/Jazzatl%C3%A1n+Capital/data=!4m2!3m1!1s0x85d1ff391e6230c3:0x7de74697b216efb3,,
Maralunga Pizza Grill & Bar,,https://www.google.com/maps/place/Maralunga+Pizza+Grill+%26+Bar/data=!4m2!3m1!1s0x85cdfff44eec7853:0x47956fb53347d933,,

