Title,Note,URL,Tags,Comment
,,,,
Dropped pin,,"https://www.google.com/maps/search/19.4176769,-99.1763088",,
CASTIZO ROMA,,https://www.google.com/maps/place/CASTIZO+ROMA/data=!4m2!3m1!1s0x85d1ffca7137cb4b:0x314bab62f97065ab,,
Durango 136,,https://www.google.com/maps/place/Durango+136/data=!4m2!3m1!1s0x85d1ff375132f07d:0x8e2d0f3fb8124e31,,
Cardamomo,,https://www.google.com/maps/place/Cardamomo/data=!4m2!3m1!1s0x85d1ff6aff865b69:0xd9e9d8c73806f963,,
The Wild Oscar,,https://www.google.com/maps/place/The+Wild+Oscar/data=!4m2!3m1!1s0x85d1ff55577956b7:0xc577df992a0402c4,,
El Jamil,,https://www.google.com/maps/place/El+Jamil/data=!4m2!3m1!1s0x85d1ff38b2efbc87:0xcc5998e3cc6d864c,,
Barra Lupe,,https://www.google.com/maps/place/Barra+Lupe/data=!4m2!3m1!1s0x85d1ff00095ae2d5:0x7e404f5d44f42518,,
Av. Nuevo León 206,,https://www.google.com/maps/place/Av.+Nuevo+Le%C3%B3n+206/data=!4m2!3m1!1s0x85d1ff6bb304dbbb:0x6410131d1a6f9ab2,,
Alae's Art Room,,https://www.google.com/maps/place/Alae's+Art+Room/data=!4m2!3m1!1s0x85d1ff3c96eca39b:0x188730c6a531ace5,,
Viejo Amor Boutique Condesa,,https://www.google.com/maps/place/Viejo+Amor+Boutique+Condesa/data=!4m2!3m1!1s0x85d1ff4394e7a7ef:0x7276394c520bc17a,,
Rapsodia,,https://www.google.com/maps/place/Rapsodia/data=!4m2!3m1!1s0x85d1ff43cc90de9b:0xc7dad670e7ef2bb9,,
Armario Comunal,,https://www.google.com/maps/place/Armario+Comunal/data=!4m2!3m1!1s0x85d1ff55233609c3:0x652d41ee042dee52,,
HOMARE Cocina Tradicional Japonesa,,https://www.google.com/maps/place/HOMARE+Cocina+Tradicional+Japonesa/data=!4m2!3m1!1s0x85d1ff006a5f817d:0x90924ed6e76a96e8,,
Perfumérica Condesa,,https://www.google.com/maps/place/Perfum%C3%A9rica+Condesa/data=!4m2!3m1!1s0x85d1ffea8b6431f3:0x1d80fc4600439680,,
