Title,Note,URL,Tags,Comment
,,,,
BAR-RICA,,https://www.google.com/maps/place/BAR-RICA/data=!4m2!3m1!1s0x85d1ff3669b3eea1:0x4058c4028b9b07ee,,
Selva Wine Bar,,https://www.google.com/maps/place/Selva+Wine+Bar/data=!4m2!3m1!1s0x85d1ffe861a25331:0xce969156fcca36ba,,
CANOPIA,,https://www.google.com/maps/place/CANOPIA/data=!4m2!3m1!1s0x85d1ff935a251551:0xc7be254187dd33e,,
FABA,,https://www.google.com/maps/place/FABA/data=!4m2!3m1!1s0x85d1ffc9e706e0c3:0xb526694ce3142bb,,
Sin Cruda,,https://www.google.com/maps/place/Sin+Cruda/data=!4m2!3m1!1s0x85d1ff003efe1e59:0xbb818046e2217349,,
Hugo,,https://www.google.com/maps/place/Hugo/data=!4m2!3m1!1s0x85d1ffdaf4634243:0xd185f7e52f6b9716,,
Vigneron,,https://www.google.com/maps/place/Vigneron/data=!4m2!3m1!1s0x85d1ff1c727888e9:0xe93086f44ebdfba,,
Despacho Margarita,,https://www.google.com/maps/place/Despacho+Margarita/data=!4m2!3m1!1s0x85d1fff74401cc15:0x636b0cab93a2430f,,
Pisca,,https://www.google.com/maps/place/Pisca/data=!4m2!3m1!1s0x85d1ffc6c0614d69:0xf4037d9a57662c8f,,
